MODELS,VOLUME,WIDTH,LENGTH,TECHNOLOGY,FIN BOXES,FINS,REC. SAIL SIZES
FreeWave STB 105,105 l,62.5 cm,229 cm,CF 30 cm,Up to 6.8 m2,,
Skate TE 86,86 l,60 cm,228 cm,BXIC,Power Box,CF Composite Innegra 17.5 cm,Up to 5.3 m2
Skate TE 93,93 l,62 cm,225 cm,CF Composite Innegra 18.5 cm,Up to 5.9 m2,,
Skate TE 100,100 l,64 cm,228 cm,CF Composite Innegra 20 cm,Up to 6.2 m2,,
Skate TE 108,108 l,66.5 cm,226 cm,CF Composite Innegra 22 cm,Up to 6.7 m2,,
Gecko LTD 98,98 l,63 cm,239 cm,BXF,Power Box,CF Composite Black 34 cm,Up to 7.5 m2
Gecko LTD 105,105 l,69 cm,239 cm,CF Composite Black 36 cm,Up to 8.0 m2,,
Gecko LTD 112,112 l,73 cm,239 cm,CF Composite Black 38 cm,Up to 8.5 m2,,
Gecko LTD 120,120 l,76 cm,242 cm,CF Composite Black 40 cm,Up to 9.0 m2,,
Gecko LTD 133,133 l,78 cm,246 cm,CF Composite Black 42 cm,Up to 9.5 m2,,
Gecko LTD 146,146 l,83 cm,250 cm,CF Composite Black 46 cm,Up to 10 m2,,
Gecko Foil Edition 120,120 l,76 cm,242 cm,BXF,FOIL Tuttle Box,CF Composite Black 42 cm,Up to 9.0 m2
Gecko Foil Edition 133,133 l,78 cm,246 cm,CF Composite Black 44 cm,Up to 9.5 m2,,
Gecko Eco 112,112 l,73 cm,239 cm,CBC,Power Box,CF Composite Black 38 cm,Up to 8.5 m2
Gecko HRS 98,98 l,63 cm,239 cm,HRS,Power Box,CF White 34 cm,Up to 7.5 m2
Gecko HRS 105,105 l,69 cm,239 cm,CF White 36 cm,Up to 8.0 m2,,
Gecko HRS 112,112 l,73 cm,239 cm,CF White 38 cm,Up to 8.5 m2,,
Gecko HRS 120,120 l,76 cm,242 cm,CF White 40 cm,Up to 9.0 m2,,
Gecko HRS 133,133 l,78 cm,246 cm,CF White 42 cm,Up to 9.5 m2,,
Gecko HRS 146,146 l,83 cm,250 cm,CF White 46 cm,Up to 10 m2,,
Gecko HRS 156 +,156 l,85 cm,252 cm,CF White 48 cm,Up to 11 m2,,
Gecko HRS 156 + Daggerboard,156 l,85 cm,252 cm,Fanatic Viper 34 & Daggerboard,Up to 11 m2,,
Blast TXTR 100,100 l,62 cm,231 cm,TXTR / BXC,Tuttle Box,CF Composite Black 34 cm,Up to 7.8 m2
Blast TXTR 115,115 l,66 cm,232 cm,CF Composite Black 38 cm,Up to 8.4 m2,,
Blast TXTR 130,130 l,70 cm,233 cm,FOIL Tuttle Box,CF Composite Black 42 cm,Up to 9.0 m2,
Blast TXTR 145,145 l,77 cm,235 cm,CF Composite Black 44 cm,Up to 10.0 m2,,
Blast LTD 100,100 l,62 cm,231 cm,BXF,Tuttle Box,CF Composite Black 34 cm,Up to 7.8 m2
Blast LTD 115,115 l,66 cm,232 cm,CF Composite Black 38 cm,Up to 8.4 m2,,
Blast LTD 130,130 l,70 cm,233 cm,FOIL Tuttle Box,CF Composite Black 42 cm,Up to 9.0 m2,
